Year,Country,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
1950,World,0.647483599400466,0.647483599400466
1951,World,0.684844971879006,0.684844971879006
1952,World,0.681446177281454,0.681446177281454
1953,World,0.687499900301531,0.687499900301531
1954,World,0.688351773070436,0.688351773070436
1955,World,0.739828120896789,0.739828120896789
1956,World,0.772296406284136,0.772296406284136
1957,World,0.781724609231089,0.781724609231089
1958,World,0.787782777435403,0.787782777435403
1959,World,0.813612029578502,0.813612029578502
1960,World,0.848492263516734,0.848492263516734
1961,World,0.837391515628674,0.837391515628674
1962,World,0.85076838582226,0.85076838582226
1963,World,0.876740401924477,0.876740401924477
1964,World,0.904148221363886,0.904148221363886
1965,World,0.924963142558097,0.924963142558097
1966,World,0.950372728321792,0.950372728321792
1967,World,0.960914720033768,0.960914720033768
1968,World,0.992983804464005,0.992983804464005
1969,World,1.03729499891326,1.03729499891326
1970,World,1.10031426785408,1.10031426785408
1971,World,1.12226169910917,1.12226169910917
1972,World,1.15163172623864,1.15163172623864
1973,World,1.18934396192567,1.18934396192567
1974,World,1.1618768049162,1.1618768049162
1975,World,1.14349438995209,1.14349438995209
1976,World,1.18494381809456,1.18494381809456
1977,World,1.1973290602338,1.1973290602338
1978,World,1.2129276617051,1.2129276617051
1979,World,1.22553265322618,1.22553265322618
1980,World,1.19650107398065,1.19650107398065
1981,World,1.14710330226437,1.14710330226437
1982,World,1.11737484801004,1.11737484801004
1983,World,1.10440525853816,1.10440525853816
1984,World,1.12247022722964,1.12247022722964
1985,World,1.13988077608339,1.13988077608339
1986,World,1.13621196442269,1.13621196442269
1987,World,1.15027561504027,1.15027561504027
1988,World,1.17403390532912,1.17403390532912
1989,World,1.16924638016467,1.16924638016467
1990,World,1.16809493719889,1.16809493719889
1991,World,1.17270327822061,1.17270327822061
1992,World,1.12134025494022,1.12134025494022
1993,World,1.11561297006937,1.11561297006937
1994,World,1.11059630479103,1.11059630479103
1995,World,1.11791652515864,1.11791652515864
1996,World,1.13619384504192,1.13619384504192
1997,World,1.12728427339643,1.12728427339643
1998,World,1.10910228249656,1.10910228249656
1999,World,1.11700235695749,1.11700235695749
2000,World,1.13190320448482,1.13190320448482
2001,World,1.12464043311588,1.12464043311588
2002,World,1.13488151994837,1.13488151994837
2003,World,1.18019216283248,1.18019216283248
2004,World,1.20622107964803,1.20622107964803
2005,World,1.23150814219916,1.23150814219916
2006,World,1.25772909282273,1.25772909282273
2007,World,1.27819725673584,1.27819725673584
2008,World,1.28384876316734,1.28384876316734
2009,World,1.24600502815429,1.24600502815429
2010,World,1.30126989469798,1.30126989469798
2011,World,1.32877610325179,1.32877610325179
2012,World,1.33135820776998,1.33135820776998
2013,World,1.32621532047208,1.32621532047208
2014,World,1.31892909532579,1.31892909532579
2015,World,1.30326504718395,1.30326504718395
2016,World,1.2880798273055,1.2880798273055
2017,World,1.29375047473293,1.29375047473293
2018,World,1.30595016460904,1.30595016460904
2019,World,1.30190112999948,1.30190112999948
2020,World,1.21989897187251,1.21989897187251
2021,World,1.27185037981381,1.27185037981381
2022,World,1.27280759138271,1.27280759138271
1950,BRA,0.0994427108779747,
1951,BRA,0.106337141006173,
1952,BRA,0.118799222386677,
1953,BRA,0.116606229974452,
1954,BRA,0.133150809689956,
1955,BRA,0.148098725363361,
1956,BRA,0.154558100548337,
1957,BRA,0.147286554024302,
1958,BRA,0.155069173409353,
1959,BRA,0.150234809031455,
1960,BRA,0.174943617364623,
1961,BRA,0.178023253491936,
1962,BRA,0.188564226369293,
1963,BRA,0.189621007506321,
1964,BRA,0.187870842935524,
1965,BRA,0.181509926154625,
1966,BRA,0.201330443847914,
1967,BRA,0.201761338255745,
1968,BRA,0.229943629904422,
1969,BRA,0.244146840980454,
1970,BRA,0.264764659292479,
1971,BRA,0.282793033213283,
1972,BRA,0.307513805725361,
1973,BRA,0.347678826326408,
1974,BRA,0.367652201199399,
1975,BRA,0.377440693419431,
1976,BRA,0.37916753942845,
1977,BRA,0.388916856748169,
1978,BRA,0.414349614933255,
1979,BRA,0.429075855702511,
1980,BRA,0.415544274203772,
1981,BRA,0.373568541488038,
1982,BRA,0.365491356140545,
1983,BRA,0.345695822455111,
1984,BRA,0.341578115838635,
1985,BRA,0.359377951579947,
1986,BRA,0.385492320582457,
1987,BRA,0.394576823873382,
